Source,Target
ಉಪಧೀಕ್ಷಕರಾದ,ಉಪವಿಭಾಗದ
ವೆಲೈಂಟೆನ್,ಉಪಾಧೀಕ್ಷಕೆರಾಯಿನ
ಡಿಸೋಜರವರ,ಶ್ರೀ
ಮುಂದಾಳತ್ವದಲ್ಲಿ,ವೆಲೈಂಟೈನ್
ನಗರ,ಮೆರ್ನ
ಠಾಣಾ,ಮುತಾಲಿಕೆಡ್
ನಿರೀಕ್ಷಕರಾದ,ನಗರ
ಚೆಲುವರಾಜು,ಠಾಣಾ
ಬಿ.,ಪೊಲೀಸ್
ಉಪನಿರೀಕ್ಷಕರು,ನಗರ
ಮತ್ತು,ಠಾಣಾ
ಸಿಬ್ಬಂದಿಗಳು,ಪೊಲೀಸ್
ಗ್ರಾಮಾಂತರ,ಬೊಕ್ಕ
ಹಾಗೂ,ಪೊಲೀಸ್
ಅಪರಾಧ,ನಗರ
ವಿಭಾಗದ,ಪೊಲೀಸ್
ಉಪನಿರೀಕ್ಷರಾದ,ಅಪರಾಧ
ತಪ್ಪಿದ,ತತ್ತಿ
ಕಾಲಕ್ಕೆ,ಕಾಲೊಗು
ಸೋಲು,ಸೋಲು
ಅಸ್ಸಾಂನ,ಅಸ್ಸಾಂ
ಮುಂದಿನ,ದ
ಮುಖ್ಯಮಂತ್ರಿ,ದುಂಬುದ
ಸ್ಥಾನಕ್ಕಾಗಿ,ಮುಖ್ಯಮಂತ್ರಿ
ಸೋನೊವಾಲ್,ಸ್ಥಾನಗಾದ್
ಪ್ರಭಾವಿ,ಬೊಕ್ಕ
ನಾಯಕ,ಪ್ರಭಾವಿ
ಹಿಮಂತ,ನಾಯಕ
ಬಿಸ್ವಾ,ಹಿಮಂತ
ಶರ್ಮಾ,ಬಿಸ್ವಾ
ಮಧ್ಯೆ,ಶರ್ಮಾ
ತೀವ್ರ,ನಡುಟು
ಪೈಪೆÇೀಟಿ,ತೀವ್ರ
ನಡೆದಿದೆ.,ಪೈಪೋಟಿ
ಸುರೇಶನು,ಸುರೇಶೆ
ನೋಡುತ್ತಿದ್ದಾನೆ,ತೂವೊಂದುಲ್ಲೆ
ಮಗುವಿನ,ಪದಿನಾಜಿ
ಕೈ,ದಿನರ್ದು
ಕಾಲನ್ನು,ಬೊಕ
ಬಗ್ಗಿಸಿ,ಬಾಲೆಗ್
ನೇರ,ಎಣ್ಣೆ
ಮಾಡಿ,ಪೂಜುವೆರ್
ವಿವೇಕನು,ವಿವೇಕೆ
ವಾದಮಾಡುತ್ತಾನೆ,ಅನುವಾದ
ಮಾನವರ,ನರಮಾನ್ಯ
ಅಂತರಂಗದಲ್ಲಿ,ಅಂತರಂಗೊಡು
ಭಯ,ಭಯ
ನಂಬಿಕೆಯ,ನಂಬಿಕೆದ
ನಡುವಿನಲ್ಲಿ,ನಡುಟು
ಉಂಟಾಗಿ,ಉಂಡಾದ್
ಬರುವುದೇ,ಬರ್ಪುನವೆ
ಭಕ್ತಿ,ಭಕ್ತಿ
ಮಖೆ,ಮಖೆ
ನಕ್ಷತ್ರ,ನಕ್ಷತ್ರ
ಶುರು,ಶುರು
ಆಗುವ,ಅಪಿನ
ಕಾಲ,ಕಾಲ
ಆಗಸ್ಟ್,ಅಗೋಸ್ಟು
14,೧೪ಡ್ದ್
ರಿಂದ,೧೬ಗ್
16,ಮುಟೊ
ರವರೆಗೆ,ತುಳು
ತುಳು,ಅಕಾಡೆಮಿದ
ಅಕಾಡೆಮಿಯ,ಸೇರಿಗೆಡ್
ಸಮನ್ವಯದಲ್ಲಿ,ಒಂಜಿ
ಸಮಾರಂಭ,ನಡಪಾವುನ
ನಡೆಸುವ,ಬಗೆಟ್
ಬಗ್ಗೆ,ಪಾತೆರೊಕತೆ
ಮಾತುಕತೆ,ಆಂಡ್.
ಈಗಿನ,ಇತ್ತೆದ
ಉಳಿಯತ್ತಡ್ಕ,ಉಳಿಯತ್ತಡ್ಕ
ಮದರು,ಮದರು
ಎನ್ನುವ,ಪನ್ಪಿನ
ಮೊಗೇರ,ಮೊಗೇರ
ಸಮುದಾಯದ,ಸಮುದಾಯೊದ
ತಾಯಿ,ಅಪ್ಪೆ
ಅಚಿಂತ್ಯನು,ಅಚಿಂತ್ಯೆ
ಪ್ರಾಣಿಗಳನ್ನು,ಪ್ರಾಣಿಲೆನ್
ಪ್ರೀತಿಸುತ್ತಾನೆ,ಮೋಕೆ
ಇನ್ನು,ನನ
ಕೆಲವೊಂದು,ಕೆಲವೊಂಜಿ
ಮಕ್ಕಳು,ಜೋಕುಲು
ಇದಕ್ಕಿಂತಲೂ,ನೆರ್ದುಲಾ
ಸ್ವಲ್ಪ,ಒಂತೆ
ಮುಂದೆ,ದುಂಬು
ಹೋಗಿ,ಪೊದು
ಚಪ್ಪರದ,ಕೊಡಿಯಾಡಿತ್ತ
ಬದಿಯಲ್ಲೇ,ಬರಿಟೆ
ನಿಂತು,ಉಂತುದ್
ದೈವದ,ದೈವೊದ
ಮೇಲೆ,ಮೇಲ್
ಅಕ್ಷತೆ,ಗು
ಬಿಸಾಡುತ್ತಾರೆ,ಪೂಅರಿ
ಆದರೆ,ಆಂಡಾ
ಅದನ್ನು,ಅವೆನ್
ತೋರಿಸುವುದು,ತೊಜಾವುನ
ಕಷ್ಟದ,ಭಂಗ್ಞದ
ಕೆಲಸ,ಬೇಲೆ
ಆಷಾಢದ,ಅಟಿದ
ಕಷ್ಟ,ಭಂಗ
ಶ್ರಾವಣ,ಸೋಣ
ಅನುಕೂಲ,ಅನುಕೂಲ
ಹೊತ್ತು,ಪೊರ್ತು
ಭೂತ,ಬೂತ
ಕುಳಿತ,ಕುಲ್ಲಿನ
ಹಂದಿ,ಪಂಜಿ
ಶ್ಯಾಮನು,ಶ್ಯಾಮೆ
ಭೂಮಿಯ,ಭೂಮಿದ
ಮಾಲೀಕನಾಗಿದ್ದಾನೆ,ಧನಿಯಾತೆ
ಸುಮತಿಯಕ್ಕ,ದೆತ್ತೊಂದು
ಒಮ್ಮೆಲೇ,ಮಾತಾ
ಬೆಚ್ಚಿ,ಎನ್ನೊಂದುಲ್ಲೆರ್
ಸಾಕೇತನು,ಸಾಕೇತೆ
ಸ್ನೇಹಮಯಿಯಾಗಿದ್ದಾನೆ,ಸ್ನೇಹಮಯಿಯಾದುಲ್ಲೆ
ಕೊರೊನಾ,ಕೊರೊನಾ
ವೈರಸ್,ವೈರಸ್
ಹರಡುವುದನ್ನು,ಪಸರುನೆನ್
ತಡೆಯಲು,ತಡೆಯರೆ
ದಕ್ಷಿಣ,ದಕ್ಷಿಣ
ಕನ್ನಡ,ಕನ್ನಡ
ಜಿಲ್ಲಾಡಳಿತ,ಜಿಲ್ಲಾಡಳಿತ
ಕಠಿಣ,ಕಠಿಣ
ಕಾನೂನು,ಕಾನೂನು
ಕ್ರಮ,ಕ್ರಮ
ತೆಗೆದುಕೊಂಡಿದೆ.,ದೆತೊನ್ದೆರ್
ನಿನ್ನ,ನಿನ್ನ
ಹೆಂಡತಿ,ಬೊಡೆದಿ
ಮೊನ್ನೆ,ಮುರಾನಿ
ದಿನ,ದಿನ
ಸದಾಶಿವರಾಯರು,ಸದಾಶಿವರಾಯೆಿರ್‌
ಶಾಲೆಯಿಂದ,ಶಾಲೆಡ್ಜ್‌
ಬರುವಾಗ,ಬನ್ನಗ
ಅವರ,ಅರೆನ
ಕೋಟು,ಕೋಟು
ಇರಲಿಲ್ಲ.,"ಇಜ್ಜಾಂಡ್‌,"
ಗುರುವಾರ,ಗುರುವಾರ
ಪಂಚಾಯತ್,ಪಂಚಾಯತ್
ಸಭಾಗೃಹದಲ್ಲಿ,ಸಭಾಗೃಹಡ್
ಕೋವಿಡ್,ಕೋವಿಡ್
ನಿಯಂತ್ರಣ,ನಿಯಂತ್ರಣ
ವಿಷಯಕ್ಕೆ,ವಿಷಯಗ್
ಸಂಬಂಧಿಸಿ,ಸಂಬಂಧಿ
ಸಭೆ,ಸಭೆ
ನಡೆಸಿದ,ನಡಪಾಯಿನ
ಆಡಳಿತ,ಆಡಳಿತ
ಜಿಲ್ಲಾಡಳಿತದ,ಜಿಲ್ಲಾಡಳಿತದ
ಸೂಚನೆಯ,ಸೂಚನೆ
"ಜನಜಾಗೃತಿ,",ಬಗ್ಗೆ
ಆದೇಶ,"ಜನಜಾಗೃತಿ,"
ಉಲ್ಲಂಘನೆ,ಆದೇಶ
ಮಾಡಿದವರ,ಉಲ್ಲಂಘನೆ
ವಿರುದ್ಧ,ಮಲ್ತಿನಕ್ಲೆನ
ದಂಡ,ವಿರುದ್ಧ
ಹೇರಿಕೆ,ದಂಡ
ಸಮೀಪದ,ಬೊಕ್ಕ
ಸಂಘ,ಕೈತಲ್
ಸಂಸ್ಥೆಗಳ,ದ
ಪ್ರತಿನಿಧಿಗಳಿರುವ,ಸಂಘ-ಸಂಸ್ಥೆದ
ವಿಶೇಷ,ಪ್ರತಿನಿದಿಲು
ಕಾರ್ಯಪಡೆ,ಉಪ್ಪುನ
ರಚನೆ,ವಿಶೇಷ
ಮಾಡಲು,ಕಾರ್ಯ
ನಿರ್ಧಾರ,ಪಡೆ
ಮಾಡಿದ್ದಾರೆ.,ರಚನೆ
ಗುರುಗುಂಜಿ,ಗುರುಗುಂಜಿ
ಮರದ,ಮರತ್ತ
ಕೆಂಪು,ಕೆಂಪು
ವರ್ಣದ,ಬಣ್ಣೊದ
ಚಿಕ್ಕ,ಕಿನ್ಯ
ಕಾಯಿ,ಕಾಯಿ
ಅದರಲ್ಲಿ,ಅಯಿಟ್
ಕಪ್ಪು,ಕಪ್ಪು
ವರ್ಣ,ಬಣ್ಣ
ಇದೆ,ಉಂಡು
ಅದು,ಅವು
ಪ್ರಕೃತಿ,ಪ್ರಕೃತಿ
ನಿಯಮದಲ್ಲಿ,ನಿಯಮಡ್
ಬಂದ,ಬತ್ತಿ
ಕಲೆ,ಕಲೆ
ಆರಾಧ್ಯನು,ಆರಾಧ್ಯೆ
ಕಂಪನಿಯನ್ನು,ಕಂಪೆನಿನ್
ತನ್ನ,ಆಯನ್
ವಶಕ್ಕೆ,ವಶೊಕು
ಪಡೆದುಕೊಳ್ಳುತ್ತಾನೆ,ಪಡೆಯೊನುವೆ
ಬೇಟೆಯವ,ಬೊಂಟೆದಾಯಿ
ಬಲೆಯನ್ನು,ಬಲೆನ್
ಕೆಳಗೆ,ತಿರ್ತು
ಹಾಕಿದ್ದ,ಪಾಡ್ಡಿತ್ತೆ
ಹಳ್ಳಿಯಲ್ಲಿ,ಹಳ್ಳಿಡ್
ಕಾಡು,ಕಾಡ್
ಗುಡ್ಡ,ಗುಡ್ಡೆ
ತೋಡು,ತೋಕೆ
ಓಣಿಗಳಲ್ಲಿ,ಒರುಂಕುಲೆಡ್
ಮಳೆಗಾಲದ,ಮರಿಯಲದ
ಗಾಳಿ,ಗಾಳಿ
ಮಳೆಗೆ,ಬರ್ಸೊಗು
ನೆನೆಯುತ್ತಾ,ನನೆವೊಂದು
ಛೆ,ಚೆ
ನನ್ನ,ಎನ್ನ
ಮನಸ್ಸಲ್ಲಿ,ಮನಸ್
ಯಾಕೆ,ಡ್
ಇಂತಹದೆಲ್ಲಾ,ದಾಯೆ
ಆಗುತ್ತಿದೆ,ಇಂಚಿನ
ಮನುಷ್ಯ,ಕಬತ್ತಾರ
ರೂಪದಲ್ಲಿ,ಗುತ್ತುದ
ಜುಮಾದಿಯನ್ನು,ಬಾಕಿಲುಗ್
ನೋಡಿ,ಮಾನಿ
ತೆಗೆದರೆ,ದೆತ್ತೆರುಂಡ
ಕೆಲವರು,ಕೆಲವರು
ಆವತ್ತೆ,ಆನಿಯೇ
ತೆಗೆಯುತ್ತಾರೆ,ದೆಪ್ಪುವೆರ್
ಅಚ್ಯುತನು,ಅಚ್ಯುತೆ
ತಪ್ಪಿಸಿಕೊಳ್ಳುತ್ತಿದ್ದಾನೆ,ತಪ್ಪಾವೊಂದುಲ್ಲೆ
ಶಾಲೆಗೆ,ಶಾಲೆಗು
ಓದದ,ಓದಂದಿನ
ಮಹೇಶನು,ಮಹೇಶೆ
ಹೋರಾಟವನ್ನು,ಪೋರ್‍ಂಬಾಟ
ಮಾಡುತ್ತಾನೆ,ಮಲ್ಪುವೆ
ತಾಯಿಯ,ಅಪ್ಪೆನ
ಕರುಳೇ,ಕರ್ಲೇ
ಕರಗಿ,ಕರದ್
ಕಣ್ಣೀರಾಗಿ,ಕನನೀರಾದ್
ಹರಿದಾಗ,ಪರಿಪುನಗ
ಮಗ,ಮಗೆ
ಬೀರ,ಬೀರ
ಕಲ್ಕುಡ,ಕಲ್ಕುಡೆ
ಪ್ರಶಾಂತನು,ಪ್ರಶಾಂತೆ
ಹಿಂದೆ,ದುಂಬು
ಮಾತು,ಪಾತೆರ
ಹುಣ್ಣಿಮೆಯಂದು,ಪುಣ್ಣಮೆದಾನಿ
ಹುಟ್ಟಿದ,ಪುಟ್ಟಿನ
ಹುಣ್ಣಿಮೆ,ಪುಣ್ಣಮೆ
ಚಂದ್ರನಂತೆ,ಚಂದ್ರಲೆಕ್ಕ
ಭೂಮಿಯಲ್ಲಿ,ಭೂಮಿಡ್
ಬೆಳಗುತ್ತಾರೆ,ಬೆಳಗುವೆರ್
ಆಕಾಶನು,ಆಕಾಶೆ
ಶಂಕರನು,ಶಂಕರೆ
ಆಟವಾಡಲು,ಗೊಬ್ಬರೆ
ಇಚ್ಚಿಸುತ್ತಾನೆ,ಇಚ್ಚಿಸುವೆ
ಚೈತನ್ಯನು,ಚೈತನ್ಯೆ
ಸಿಹಿಯನ್ನು,ಚೀಪೆ
ತಿನ್ನುತ್ತಿದ್ದಾನೆ,ತಿನ್ನೊಂದುಲ್ಲೆ
ಅಜಯನು,ಅಜಯೆ
ಕಿರಿಕಿರಿ-ಮಾಡುತ್ತಾನೆ,ಕಿರಿಕಿರಿ-ಮಲ್ಪುವೆ
ರಾಮಣ್ಣ,ರಾಮಣ್ಣೆ
ಹಣ,ಕಾಸ್
ಹಿಂತಿರುಗಿಸಿಲ್ಲ,ಪಿರಕೊರ್ತುಜೆರ್
ಸೀಮಂತ,ಬಯಕೆ
ಹಾಕುವ,ಪಾಡುನ
ಇಲ್ಲ,ಇಜ್ಜಿ
ಹೌದೌದು,ಅಂದ್ಂದ್
ತಲೆ,ತರೆ
ಆಡಿಸಿದರು,ಆಡಾಯೆರ್
ಉಪೇಂದ್ರನು,ಉಪೇಂದ್ರೆ
ಯುದ್ಧ,ಲಡಾಯಿ
ಸರ್ವೇಶನು,ಸರ್ವೇಶೆ
ಕೊಳಕಾದ,ಕುರೆಯಾತಿನ
ಉಡುಪನ್ನು,ಕುಂಟು
ಧರಿಸಿದ್ದಾನೆ,ಪಾಡ್ದೆ
ಆಯುಷನು,ಆಯುಷೆ
ಹೊಸ,ಪೊಸ
ವ್ಯವಹಾರಕ್ಕೆ,ಬೇರೊಗು
ಬಂಡವಾಳ,ಬಂಡವಾಳ
ಬಯಸುತ್ತಿದ್ದಾನೆ,ಬಯಕೊಂದುಲ್ಲೆ
ನೇಸರ,ನೇಸರ
ದೇವರ,ದೇವೆರೆ
ದಗೆಯಲ್ಲಿ,ದಗೆಟ್ಟ್
ಬಾನಿನಿಂದ,ಬಾನೊಡ್ದ್
ಭೂಮಿ,ಭೂಮಿ
ಕಾಯುತ್ತದೆ,ಕಾಯುಂಡು
ಆಗಬೇಕಾದುದು,ಅವೊಡಾಯಿನಿ
ಮನೆಯಲ್ಲಿ,ಇಲ್ಲಡ್
ಮತ್ತೆ,ಬೊಕ
ಊರಲ್ಲಿ,ಊರುಡ್
ಅಗತ್ಯ,ಅಗತ್ಯ
ಬಿದ್ದರೆ,ಬೂರುಂಡ
ಅಡುಗೆ,ಅಟಿಲ್
ಮಾಡಲಿಕ್ಕೆ,ಮಲ್ಪೆರೆ
ಬಳಸುತ್ತಾರೆ,ಗಳಸುವೆರ್
ಕಾಲದಲ್ಲಿ,ಕಾಲೊಡು
ನಾಯಿ,ನಾಯಿ
ಸಂತೆಯಂತೆ,ಸಂತೆದಂಚ
ಸಿಗುವ,ತಿಕ್ಕುನ
ಬಿಸಾಡುತ್ತಿದ್ದ,ದಕ್ಕೊಂಡಿತ್ತಿನ
ಹಲಸಿಗೆ,ಪೆಲಕಾಯಿಗು
ಈಗ,ಇತ್ತೆ
ಬಹಳ,ಬಾರಿ
ಬೆಲೆ,ಬಿಲೆ
ಯಾರು,ಯೆರ್
ಸಿಕ್ಕಿದರೂ,ತಿಕುಂಡ
ಬೆಡಿಯ,ಬೆಡಿತ್ತ
ನಲಿಗೆ,ನಲಿಗೆ
ಮರ,ಮರ
ಬಲ್ಲೆ,ಪುದೆಲ್
ಅದ್ವಿಕನು,ಅದ್ವಿಕೆ
ಹೊಸಬಟ್ಟೆಯನ್ನು,ಪೊಸ
ತೊಟ್ಟಿದ್ದಾನೆ,ಕುಂಟು
ಎರಡನೇ,ರಡ್ಡನೇ
ಹರಿಹರ,ಹರಿಹರ
ಅನ್ನುವ,ಪನ್ಪಿ
ಸಾರ್ವಭೌಮ,ಸಾಮಂತರಸು
ಶ್ರವಣಬೆಳಗೊಳದ,ಶ್ರವಣಬೆಳಗೋಳದ
ಬಾಹುಬಲಿಯನ್ನು,ಗೊಮ್ಮಟನ್
ಕೆತ್ತಿಸಿದ್ದನು,ಕೆತ್ತದಿತ್ತೆ
ಅರಸರು,ಅರಸುಲು
ನಿಮ್ಮನ್ನು,ಈರೆಗ್
ಬರ,ಲೆಪ್ಪು
ಹೇಳಿದ್ದಾರೆ,ಕೊರ್ತೆರ್
ಪಂಚೊಲಿ,ಪಂಚೊಲಿ
ವೀಳ್ಯದೆಲೆ,ಬಚ್ಚಿರೆ
ಗೆಜ್ಜೆಕತ್ತಿ,ಗಿಜೆತ್ತಿ
ನೀಲಕಂಠನು,ನೀಲಕಂಠೆ
ಹಿಡಿದುಕೊಂಡಿದ್ದಾನೆ,ಪತೊಂದೆನೆ
ಆರವನು,ಆರವೆ
ಕಥೆಯನ್ನು,ಕಥೆನ್
ಮುಗಿಸುತ್ತಿದ್ದಾರೆ,ಮುಗಿತೊಂದುಲ್ಲೆರ್
ಶಿವನು,ಶಿವೆ
ಆರಾಧನೆ-ಮಾಡುತ್ತಾನೆ,ಆರಾಧನೆ-ಮಲ್ಪುವೆ
ಇದು,ಉಂದು
ವೆನೂರು,ವೇಣೂರು
ಕಾರ್ಕಳದ,ಕಾರ್ಲದ
ಅರಸರಲ್ಲಿ,ಅರಸುಲೆಡ
ಉದ್ವಿಘ್ನತೆ,ಪಗೆ
ಮೂಡಿಸಿ,ಮೂಡದ್
ಪರಸ್ಪರರು,ಇರ್ವೆರ್ಲಾ
ತೊಡೆ,ತೊಡೆ
ತಟ್ಟುವಂತೆ,ಬೊಟ್ಟೊನುನಂಚ
ಮಾಡಿದ್ದವು,ಮಲ್ತಿತ್ತುಂಡ್
ಎತ್ತುಗಳು,ಬೋರ್ಲ್
ಉಪಯೋಗ,ಉಪಯೋಗ
ಆಗುವುದು,ಆಪುನಿ
ಆದರೂ,ಆಂಡಲಾ
ಬೆಳಿಗ್ಗೆ,ಕಾಂಡೆ
6,6
ಗಂಟೆಯಿಂದ,ಗಂಟೆರ್ದ್
10,10
ಗಂಟೆ,ಗಂಟೆ
ತನಕ,ಮುಟ
ಜನಗಳು,ಜನಕುಲು
ವಸ್ತುಗಳ,ವಸ್ತುದ
ಖರೀದಿಯ,ಖರೀದಿದ
ನೆಪದಲ್ಲಿ,ನೆಪಟ್
ಮನೆಯಿಂದ,ಇಲ್ಲರ್ದ್
ಹೊರಗೆ,ಪಿದಾಯಿ
ಬರುತ್ತಿದ್ದಾರೆ.,ಬರೊಂದು
ವಿಹಾನನು,ವಿಹಾನೆ
ಸುಂದರವಾಗಿ,ಪೊರ್ಲು
ಕಾಣಿಸುತ್ತಿದ್ದಾನೆ,ತೋಜೊಂದುಲ್ಲೆ
ಮಣ್ಣಿನ,ಮಣ್ಣ್
ಗೋಡೆಯ,ದ
ಮನೆಗಳು,ಗೋಡೆದ
ಪ್ರವಾಹ,ಇಲ್ಲುಲು
ದಿಸೀಲವೆಂದು,ಬನ್ನಗ
ಗೋಡೆ,ದಿಸೀಲಾಂದ್
ಬೀಳುತ್ತದೆ,ಗೋಡೆ
ವಿಶ್ವಜಿತನು,ವಿಶ್ವಜಿತೆ
ಸೌಂದರ್ಯದ,ಪೊರ್ಲುದ
ರಾಜನಾಗಿದ್ದಾನೆ,ರಾಜೆಯಾತೆ
ತುಳುನಾಡಿನಲ್ಲಿ,ಒಂಜಿ
ಸಸ್ಯ,ಸಾಗೊಲಿಡ್
ಸಂಪತ್ತಿನ,ಪುದರ್
ತುಂಬಿ,ತುಳುನಾಡ್
ಕುಂಟಾಲಿನ,ಕೊಡಿ
ಕೊಡಿ,ಮರ್ದುಗ್
ತೆರೆಯ,ಒಳ್ಳೆದ
ರಾಷ್ಟ್ರೀಯ,ರಾಷ್ಟ್ರೀಯ
ರಕ್ತಚಾಲನ,ರಕ್ತಚಾಲನ
ಪರಿಷತ್,ಪರಿಷತ್
ನಿರ್ದೇಶನ,ನೀರ್ದೇಶನ
ಕೇಂದ್ರ,ಕೇಂದ್ರ
ಸರಕಾರದ,ಸರ್ಕಾರದ
ಮಾರ್ಗಸೂಚಿಯ,ಮಾರ್ಗಸೂಚಿದ
ಲಸಿಕೆ,ಲಸಿಕೆ
ಪಡೆದುಕೊಂಡವರು,ದೆತೊನಿನಕುಲು
28,ದುಂಬುದ
ದಿನಗಳ,28
ನಂತರ,ದಿನ
ರಕ್ತದಾನ,ನೆತ್ತೆರ್
ಮಾಡಬಹುದು,ದಾನ
ಎಂದರು.,ಮಲ್ಪೊಡು
ಹಂದಿಗಳ,ಪಂಜಿಲೆ
ಬೆನ್ನಲ್ಲಿ,ಬೆರೀಟ್
ಹಾಗಾಗಿ,ಅಂಚದ್
ಅಜಸೂಲ,ಅಜಸೂಲ
ನೆಲಕೈ,ನೆಲಕೈ
ಹೊಡೆಯುವುದು,ಹಾಕುನಿ
ಎಲ್ಲಾ,ಪೂರ
ಕಡಿಮೆ,ಕಮ್ಮಿ
ಆಗಿದೆ,ಆತ್ತುಂಡು
ಎಂದು,ಕನ
ಕನಸು,ಕಟ್ಟೊಂದಿತ್ತಿ
ಕಾಣುತ್ತಿದ್ದ,ಕುಟುಮೊ
ಕುಟುಂಬ,ಇತ್ತಿತ್ತೆ
ಮನೆಗೆ,ಯಾವುಂದು
ಬಂದು,ಬೇನೆಡ್
ಮುಟ್ಟಿದರೆ,ಕಾತ್
ಸಾಕು,ಕುಲ್ಲೊಂದುಂಡು
ನದಿಗಳು,ತುದೆಕ್ಕುಲು
ನೀರಿಗೆ,ನೀರ್ಗ್
ನಿಲ್ಲಲು,ಉಂತರೆ
ಜಾಗವಿಲ್ಲದೆ,ಜಾಗ್ದಾಂತೆ
ಕಡಲಿಗೆ,ಕಡಲ್ಗ್
ಹೋಗುತ್ತದೆ,ಪೋಪುಂಡು
ಮನೋಹರನು,ಮನೋಹರೆ
ಪತ್ರವನ್ನು,ಓಲೆ
ಸ್ವೀಕರಿಸುತ್ತಾನೆ,ದೆತೊನುವೆ
ಬಸಿರಿನ,ಬಂಜಿನ
ಫಲಬಂದಂತಹ,ಫಲಬೈದಿನ
ಅಂದರೆ,ಪಂಡಾ
ಅದಕ್ಕೆ,ಅಯಿಕ್
ವಿಶೇಷವಾದ,ಇಸೇಸವಾಯಿನ
ಪಾವಿತ್ರತೆಯನ್ನು,ಪಾವಿತ್ರತೆನ್
ಅದರ,ಐತ
ಇವರು,ಮೆಕುಲು
ಇದನ್ನು,ಉಂದೆನ್
ನೋಡಿದ,ತೂಯಿನ
ಮಂತ್ರವಾದಿ,ಮಂತ್ರವಾದಿ
ಆಲೋಚನೆ,ಆಲೋಚನೆ
ನಗಾಡಿ,ದ್
ಏನು,ತೆಲ್ತ್
ಹೇಳಿದ,ದ್
ಎಂದರೆ,ದಾದ
ಕೃಷಿಗೂ,ಮೆಕ್ಲ್
ಜನಾಂಗದವರಿಗೂ,ಬೇಸಾಯೊ
ಹತ್ತಿರದ,ಮಲ್ತೊಂದಿತ್ತೆರ್
ಅಧೀಶನು,ಅಧೀಶೆ
ವಶಕ್ಕೆ-ಪಡೆದುಕೊಳ್ಳುತ್ತಾನೆ,ಆ
ಕಾರ್ಣಿಕದ,ಕಾರ್ನಿಕದ
ಮಾಯದೊಂದಿಗೆ,ಮಾಯದೊಟ್ಟಿಗೆ
ಮಾಯದ,ಮಾಯದ
ಚಿತ್ತಕ್ಕೆ,ಚಿತ್ತೊಗ್
ಸೇರುವ,ಸೇರುನ
ಎಣ್ಸೂಲ,ಎಣ್ಸೂಲ
ಬರ್ಕೆ,ಬರ್ಕೆ
ಮೂರು,ಮೂಜಿ
ದಿನದ,ದಿನತ
ಉತ್ಸವ,ಉಚ್ಚಯ
ಬಲಿ,ಬಲಿ
ವರ್ಷ,ವರ್ಷ
ನಿಯಮ,ನಿಯಮ
ಬದಲಾಗಿದೆ.,ಬದಲಾತುಂಡು
ಪ್ರಸನ್ನನು,ಪ್ರಸನ್ನೆ
ಉಪದ್ರ,ಉಪದ್ರ
ವೇಳೆ,ವೇಳೆ
