en,Kn
ವಿವೇಕನು ವಾದಮಾಡುತ್ತಾನೆ,The Wise One Arguments
ಹಾಗೆಯೇ ಮಾನವರ ಅಂತರಂಗದಲ್ಲಿ ಭಯ ನಂಬಿಕೆಯ ನಡುವಿನಲ್ಲಿ ಉಂಟಾಗಿ ಬರುವುದೇ ಭಕ್ತಿ,Bhakti is also derived from the belief in fear within human beings.
ಮಖೆ ನಕ್ಷತ್ರ ಶುರು ಆಗುವ ಕಾಲ,The time when the Makhe Nakshatra begins
ಆಗಸ್ಟ್ 14 ರಿಂದ 16 ರವರೆಗೆ ತುಳು ಅಕಾಡೆಮಿಯ ಸಮನ್ವಯದಲ್ಲಿ ಒಂದು ಸಮಾರಂಭ ನಡೆಸುವ ಬಗ್ಗೆ ಮಾತುಕತೆ ಆಯಿತು.,There were talks of holding a function in coordination with the Tulu Academy from 14 to 16 August.
ಈಗಿನ ಉಳಿಯತ್ತಡ್ಕ ಮದರು ಎನ್ನುವ ಮೊಗೇರ ಸಮುದಾಯದ ತಾಯಿ,"The mother of the present-day Rahyathadka Madaru, a Mogera community"
ಅಚಿಂತ್ಯನು ಪ್ರಾಣಿಗಳನ್ನು ಪ್ರೀತಿಸುತ್ತಾನೆ,Achintya loves animals
ಇನ್ನು ಕೆಲವೊಂದು ಮಕ್ಕಳು ಇದಕ್ಕಿಂತಲೂ ಸ್ವಲ್ಪ ಮುಂದೆ ಹೋಗಿ ಚಪ್ಪರದ ಬದಿಯಲ್ಲೇ ನಿಂತು ದೈವದ ಮೇಲೆ ಅಕ್ಷತೆ ಬಿಸಾಡುತ್ತಾರೆ,Some other children go a little further than this and stand on the side of the terrace and throw Akshata on the deity.
ಆದರೆ ಅದನ್ನು ಮಾಡಿ ತೋರಿಸುವುದು ಕಷ್ಟದ ಕೆಲಸ,But it's hard to do that.
ಆಷಾಢದ ಕಷ್ಟ ಹೋಗಿ ಶ್ರಾವಣ ಸ್ವಲ್ಪ ಅನುಕೂಲ ಆಗುವ ಹೊತ್ತು,When Ashadha's troubles go away and Shravan becomes a little easier
ಭೂತ ಕುಳಿತ ಹಂದಿ,The ghost-sitting pig
ಶ್ಯಾಮನು ಆ ಭೂಮಿಯ ಮಾಲೀಕನಾಗಿದ್ದಾನೆ,Shyam is the owner of the land
ಸುಮತಿಯಕ್ಕ ಒಮ್ಮೆಲೇ ಬೆಚ್ಚಿ ಬಿದ್ದರು,Sumathi was shocked at once.
ಸಾಕೇತನು ಸ್ನೇಹಮಯಿಯಾಗಿದ್ದಾನೆ,Saketa is friendly
ಕೊರೊನಾ ವೈರಸ್ ಹರಡುವುದನ್ನು ತಡೆಯಲು ದಕ್ಷಿಣ ಕನ್ನಡ ಜಿಲ್ಲಾಡಳಿತ ಕಠಿಣ ಕಾನೂನು ಕ್ರಮ ತೆಗೆದುಕೊಂಡಿದೆ.,The Dakshina Kannada district administration has taken strict legal action to prevent the spread of coronavirus.
ನಿನ್ನ ಹೆಂಡತಿ ಮೊನ್ನೆ,Your wife's first
ಒಂದು ದಿನ ಸದಾಶಿವರಾಯರು ಶಾಲೆಯಿಂದ ಬರುವಾಗ ಅವರ ಕೋಟು ಇರಲಿಲ್ಲ.,"One day, Sadashivrao did not have his coat on when he came from school."
"ಗುರುವಾರ ಪಂಚಾಯತ್ ಸಭಾಗೃಹದಲ್ಲಿ ಕೋವಿಡ್ ನಿಯಂತ್ರಣ ವಿಷಯಕ್ಕೆ ಸಂಬಂಧಿಸಿ ಸಭೆ ನಡೆಸಿದ ಆಡಳಿತ ಜಿಲ್ಲಾಡಳಿತದ ಸೂಚನೆಯ ಪ್ರಕಾರ ಕೋವಿಡ್ ಬಗ್ಗೆ ಜನಜಾಗೃತಿ, ಆದೇಶ ಉಲ್ಲಂಘನೆ ಮಾಡಿದವರ ವಿರುದ್ಧ ದಂಡ ಹೇರಿಕೆ ಮತ್ತು ಸಮೀಪದ ಸಂಘ ಸಂಸ್ಥೆಗಳ ಪ್ರತಿನಿಧಿಗಳಿರುವ ವಿಶೇಷ ಕಾರ್ಯಪಡೆ ರಚನೆ ಮಾಡಲು ನಿರ್ಧಾರ ಮಾಡಿದ್ದಾರೆ.","The administration, which held a meeting on the issue of Covid control at the panchayat hall on Thursday, decided to create awareness about Covid, impose fines on those violating the order, and set up a special task force with representatives of nearby associations as per the instructions of the district administration."
ಗುರುಗುಂಜಿ ಮರದ ಒಂದು ಕೆಂಪು ವರ್ಣದ ಚಿಕ್ಕ ಕಾಯಿ ಅದರಲ್ಲಿ ಕಪ್ಪು ವರ್ಣ ಇದೆ ಅದು ಪ್ರಕೃತಿ ನಿಯಮದಲ್ಲಿ ಬಂದ ಕಲೆ,Gurgunji is a small reddish-brown piece of wood with a black hue that is an art from the law of nature.
ಆರಾಧ್ಯನು ಆ ಕಂಪನಿಯನ್ನು ತನ್ನ ವಶಕ್ಕೆ ಪಡೆದುಕೊಳ್ಳುತ್ತಾನೆ,Aaradhya takes over the company
ಬೇಟೆಯವ ಬಲೆಯನ್ನು ಕೆಳಗೆ ಹಾಕಿದ್ದ,The hunter had put down the net
ಹಳ್ಳಿಯಲ್ಲಿ ಕಾಡು ಗುಡ್ಡ ತೋಡು ಓಣಿಗಳಲ್ಲಿ ಮಳೆಗಾಲದ ಗಾಳಿ ಮಳೆಗೆ ನೆನೆಯುತ್ತಾ,A forested hillock in a village is washed away by the monsoon winds.
ಛೆ ನನ್ನ ಮನಸ್ಸಲ್ಲಿ ಯಾಕೆ ಇಂತಹದೆಲ್ಲಾ ಆಗುತ್ತಿದೆ,Why is this happening in my mind?
ಮನುಷ್ಯ ರೂಪದಲ್ಲಿ ಬಂದ ಜುಮಾದಿಯನ್ನು ನೋಡಿ,Look at the Jumadi in human form.
ತೆಗೆದರೆ ಕೆಲವರು ಆವತ್ತೆ ತೆಗೆಯುತ್ತಾರೆ,"If taken, some will take it away."
ಅಚ್ಯುತನು ತಪ್ಪಿಸಿಕೊಳ್ಳುತ್ತಿದ್ದಾನೆ,Achyuta is escaping
ಶಾಲೆಗೆ ಹೋಗಿ ಓದದ ಮಕ್ಕಳು,Children who don't go to school
ಮಹೇಶನು ಹೋರಾಟವನ್ನು ಮಾಡುತ್ತಾನೆ,Mahesh makes a fight
ತಾಯಿಯ ಕರುಳೇ ಕರಗಿ ಕಣ್ಣೀರಾಗಿ ಹರಿದಾಗ ಮಗ ಬೀರ ಕಲ್ಕುಡ,Son Beera Kalkuda When Mother's Bowel Melted Into Tears
ಪ್ರಶಾಂತನು ಮಾಲೀಕನಾಗಿದ್ದಾನೆ,serenity is the owner
ಹಿಂದೆ ಒಂದು ಮಾತು,A word in the past
ಹುಣ್ಣಿಮೆಯಂದು ಹುಟ್ಟಿದ ಮಕ್ಕಳು ಹುಣ್ಣಿಮೆ ಚಂದ್ರನಂತೆ ಈ ಭೂಮಿಯಲ್ಲಿ ಬೆಳಗುತ್ತಾರೆ,Children born on a full moon shine like a full moon on this earth.
ಆಕಾಶನು ತಪ್ಪಿಸಿಕೊಳ್ಳುತ್ತಿದ್ದಾನೆ,The sky is escaping
ಶಂಕರನು ಆಟವಾಡಲು ಇಚ್ಚಿಸುತ್ತಾನೆ,Shankar wants to play
ಚೈತನ್ಯನು ಸಿಹಿಯನ್ನು ತಿನ್ನುತ್ತಿದ್ದಾನೆ,Chaitanya is eating sweets
ಅಜಯನು ಕಿರಿಕಿರಿ-ಮಾಡುತ್ತಾನೆ,ajay is annoying
ರಾಮಣ್ಣ ಹಣ ಹಿಂತಿರುಗಿಸಿಲ್ಲ,Ramanna did not return the money.
ಸೀಮಂತ ಹಾಕುವ ಕ್ರಮ ಇಲ್ಲ,No action to be taken
ಹೌದೌದು ತಲೆ ಆಡಿಸಿದರು,"Yes, he played his head."
ಉಪೇಂದ್ರನು ಯುದ್ಧ ಮಾಡುತ್ತಾನೆ,Upendra makes war
ಸರ್ವೇಶನು ಕೊಳಕಾದ ಉಡುಪನ್ನು ಧರಿಸಿದ್ದಾನೆ,Sarvesh is wearing a dirty dress
ಆಯುಷನು ಹೊಸ ವ್ಯವಹಾರಕ್ಕೆ ಬಂಡವಾಳ,Ayush invests in a new business
ಆಕಾಶನು ಬಯಸುತ್ತಿದ್ದಾನೆ,The sky is wanting
ನೇಸರ ದೇವರ ದಗೆಯಲ್ಲಿ ಬಾನಿನಿಂದ ಭೂಮಿ ಕಾಯುತ್ತದೆ,The earth waits with bani in the guise of the god Nesara
ಅದು ಆಗಬೇಕಾದುದು ಮನೆಯಲ್ಲಿ ಮತ್ತೆ ಊರಲ್ಲಿ,It has to be at home again.
ಅಗತ್ಯ ಬಿದ್ದರೆ ಅಡುಗೆ ಮಾಡಲಿಕ್ಕೆ ಬಳಸುತ್ತಾರೆ,It can be used for cooking if needed.
ಒಂದು ಕಾಲದಲ್ಲಿ ನಾಯಿ ಸಂತೆಯಂತೆ ಸಿಗುವ ಮತ್ತೆ ಬಿಸಾಡುತ್ತಿದ್ದ ಹಲಸಿಗೆ ಈಗ ಬಹಳ ಬೆಲೆ,"Jackfruit, which was once a dog's milk, is now worth a lot of money."
ಯಾರು ಸಿಕ್ಕಿದರೂ ಬೆಡಿಯ ನಲಿಗೆ ಮರ ಬಲ್ಲೆ,Whoever found the faucet knows the tree.
ಅದ್ವಿಕನು ಹೊಸಬಟ್ಟೆಯನ್ನು ತೊಟ್ಟಿದ್ದಾನೆ,Advika is wearing a new shirt
ಎರಡನೇ ಹರಿಹರ ಅನ್ನುವ ಸಾರ್ವಭೌಮ ಶ್ರವಣಬೆಳಗೊಳದ ಬಾಹುಬಲಿಯನ್ನು ಕೆತ್ತಿಸಿದ್ದನು,The Bahubali of Sovereign Shravanabelagola was carved by Harihara II.
ಅರಸರು ನಿಮ್ಮನ್ನು ಬರ ಹೇಳಿದ್ದಾರೆ,The kings have told you to come.
ಪಂಚೊಲಿ ವೀಳ್ಯದೆಲೆ ಮತ್ತೆ ಗೆಜ್ಜೆಕತ್ತಿ ಕೊಡುತ್ತಾರೆ,The Pancholi Veetera Dal is back in action.
ನೀಲಕಂಠನು  ಹಿಡಿದುಕೊಂಡಿದ್ದಾನೆ,Neelkanth is holding
ಆರವನು ಕಥೆಯನ್ನು ಮುಗಿಸುತ್ತಿದ್ದಾರೆ,The sixth is finishing the story
ಶಿವನು  ಆರಾಧನೆ-ಮಾಡುತ್ತಾನೆ,Shiva is worshipped
ಇದು ವೆನೂರು ಮತ್ತು ಕಾರ್ಕಳದ ಅರಸರಲ್ಲಿ ಉದ್ವಿಘ್ನತೆ ಮೂಡಿಸಿ ಪರಸ್ಪರರು ತೊಡೆ ತಟ್ಟುವಂತೆ ಮಾಡಿದ್ದವು,This caused tension between the rulers of Venur and Karkala and caused them to bicker with each other.
ಎತ್ತುಗಳು ಉಪಯೋಗ ಆಗುವುದು,The use of oxen
ಆದರೂ ಬೆಳಿಗ್ಗೆ 6 ಗಂಟೆಯಿಂದ 10 ಗಂಟೆ ತನಕ ಜನಗಳು ಅಗತ್ಯ ವಸ್ತುಗಳ ಖರೀದಿಯ ನೆಪದಲ್ಲಿ ಮನೆಯಿಂದ ಹೊರಗೆ ಬರುತ್ತಿದ್ದಾರೆ.,"However, from 6 am to 10 am, people are coming out of their homes on the pretext of buying essentials."
ವಿಹಾನನು ಸುಂದರವಾಗಿ ಕಾಣಿಸುತ್ತಿದ್ದಾನೆ,Vihaan is looking beautiful
ಮಣ್ಣಿನ ಗೋಡೆಯ ಮನೆಗಳು ಪ್ರವಾಹ ಬರುವಾಗ ದಿಸೀಲವೆಂದು ಗೋಡೆ ಬೀಳುತ್ತದೆ,Mud-walled houses collapse when flooded
ವಿಶ್ವಜಿತನು ಸೌಂದರ್ಯದ ರಾಜನಾಗಿದ್ದಾನೆ,Vishwajeet is the king of beauty.
ತುಳುನಾಡಿನಲ್ಲಿ ಕಾಡು ಮರ ಸಸ್ಯ ಸಂಪತ್ತಿನ ಕಾಡು ತುಂಬಿ ಇತ್ತು,The forest in Tulunadu was full of wild tree and plant wealth.
ಕುಂಟಾಲಿನ ಕೊಡಿ ತೆರೆಯ ಕೊಡಿ,Give me the screen of a lame duck
ರಾಷ್ಟ್ರೀಯ ರಕ್ತಚಾಲನ ಪರಿಷತ್ ನಿರ್ದೇಶನ ಮತ್ತು ಕೇಂದ್ರ ಸರಕಾರದ ಮಾರ್ಗಸೂಚಿಯ ಪ್ರಕಾರ ಲಸಿಕೆ ಪಡೆದುಕೊಂಡವರು ಮುಂದಿನ 28 ದಿನಗಳ ನಂತರ ರಕ್ತದಾನ ಮಾಡಬಹುದು ಎಂದರು.,"He said that as per the directions of the Rashtriya Raktchalan Parishad and the guidelines of the Central Government, those who have received the vaccine can donate blood after the next 28 days."
ಈ ಹಂದಿಗಳ ಬೆನ್ನಲ್ಲಿ ಭೂತ,The ghost in the back of these pigs
ಹಾಗಾಗಿ ಈಗ ಅಜಸೂಲ ನೆಲಕೈ ಹೊಡೆಯುವುದು ಎಲ್ಲಾ ಬಹಳ ಕಡಿಮೆ ಆಗಿದೆ,So now it is very less to hit the Ajasula paddy field.
ಎಂದು ಕನಸು ಕಾಣುತ್ತಿದ್ದ ಕುಟುಂಬ ಈಗ ಬೀರ ಮನೆಗೆ ಬಂದು ಮುಟ್ಟಿದರೆ ಸಾಕು ಎಂದು ಆತಂಕದಿಂದ ಹಂಬಲಿಸುತ್ತಾರೆ,"The family, who had been dreaming of this, now yearns anxiously that it will be enough to come and touch Bir's house."
ನದಿಗಳು ತುಂಬಿ ಮಳೆಗಾಲದ ನೀರಿಗೆ ನಿಲ್ಲಲು ಜಾಗವಿಲ್ಲದೆ ಕಡಲಿಗೆ ಹೋಗುತ್ತದೆ,The rivers are overflowing and go to the sea without any place to stand for the monsoon water.
ಮನೋಹರನು ಪತ್ರವನ್ನು ಸ್ವೀಕರಿಸುತ್ತಾನೆ,Manohar receives the letter
ಬಸಿರಿನ ಫಲಬಂದಂತಹ ಅಂದರೆ ಅದಕ್ಕೆ ವಿಶೇಷವಾದ ಪಾವಿತ್ರತೆಯನ್ನು ಕೊಡುತ್ತಾರೆ,The fruit of the basil gives it a special purity.
ಅದರ ಮಧ್ಯೆ ಇವರು ರಕ್ತದಾನ ಮಾಡಬಹುದು ಎಂದರು.,"In between, they can donate blood."
ಇದನ್ನು ನೋಡಿದ ಮಂತ್ರವಾದಿ ಆಲೋಚನೆ ಮಾಡಿ ನಗಾಡಿ ಏನು ಹೇಳಿದ ಎಂದರೆ,"Seeing this, the sorcerer thought and said to Nagadi,"
ಕೃಷಿಗೂ ಈ ಜನಾಂಗದವರಿಗೂ ಹತ್ತಿರದ ಸಂಬಂಧ ಇದೆ,The species is closely related to agriculture.
ಅಧೀಶನು ವಶಕ್ಕೆ-ಪಡೆದುಕೊಳ್ಳುತ್ತಾನೆ,The Superintendent takes custody of the
ಕಾರ್ಣಿಕದ ಮಾಯದೊಂದಿಗೆ ಮಾಯದ ಚಿತ್ತಕ್ಕೆ ಸೇರುವ ಎಣ್ಸೂಲ ಬರ್ಕೆ,"Namsula Barke, who joins the mind of the mother with the death of Karnika"
ಈ ಮೂರು ದಿನದ ಉತ್ಸವ ಮೂರು ದಿನದ ಬಲಿ,This three-day festival is a three-day sacrifice.
ಆದರೆ ಈ ವರ್ಷ ಈ ನಿಯಮ ಬದಲಾಗಿದೆ.,"This year, however, the rule has changed."
ಪ್ರಸನ್ನನು ಉಪದ್ರ ಮಾಡುತ್ತಾನೆ,Prasanna makes a fuss
ಒಂದು ವೇಳೆ ತಾಗಿ ಪೆಟ್ಟಾದರೆ,If you get hit
ಅಮಿತನು ಬುದ್ಧಿಹೀನನಾಗಿದ್ದಾನೆ,amit is clueless
ಇಂದ್ರನು ವಾಹನವನ್ನು ಚಲಾಯಿಸುತ್ತಿದ್ದಾನೆ,Indra is driving the vehicle
ಈಗಿನ ದಿನದಲ್ಲಿ ದೇವಸ್ಥಾನಕ್ಕೆ ಕರೆದುಕೊಂಡು ಹೋಗಿ ಅನ್ನ ಕೊಡುತ್ತಾರೆ,"On this day, rice is offered by taking it to the temple."
ಹಾಗಾಗಿ ಈ ಅಗ್ನಿಗೆ ಹಾರಿ ನನ್ನ ದೇಹದಾನ ಮಾಡುತ್ತೇನೆ ನೀವು ತಿನ್ನಿ,So I'll jump into this fire and donate my body for you to eat.
ಯಾಕೆ ಮಾತಾನಾಡುತ್ತಿಲ್ಲ ಎಂದು,Why don't you speak?
ಒಟ್ಟು ಐದು ವರ್ಷ ಕಠಿಣ ಶಿಕ್ಷೆ ಪಡೆದರು.,He was sentenced to a total of five years rigorous imprisonment.
ಮಾವಿನ ಎಲೆಯ ಬದಲು ಕಳಶಕ್ಕೆ ಇದರ ಎಲೆಯನ್ನೂ ಇಡಬಹುದು,"Instead of the mango leaf, its leaf can also be placed in the kalash."
"ದೇಶದ ಜನರ ನೋವನ್ನು ಕೇಂದ್ರ ಸರಕಾರದ ಗಮನಕ್ಕೆ ತರುವ ನೆಲೆಯಲ್ಲಿ “ನಮಗೆ ಉಚಿತ ಲಸಿಕೆ ನೀಡಿ”, ಲಸಿಕೆಯನ್ನು ನಿಗದಿತ ಸಮಯದ ಒಳಗೆ ನೀಡಿ ಎನ್ನುವ ಜನಾಂದೋಲವನ್ನು ರವಿವಾರ  (ಮೇ 16) ಕಾಂಗ್ರೆಸ್ ಪ್ರಾರಂಭಿಸಲಿಕ್ಕಿದೆ ಎಂದು ಎಐಸಿಸಿ ಕಾರ್ಯದರ್ಶಿ ಐವನ್ ಡಿಸೋಜ ಹೇಳಿದರು.","AICC secretary Ivan D'Souza said the Congress will launch a mass movement on Sunday (May 16) to bring to the notice of the central government the pain of the people of the country, ""Give us free vaccine"" and give the vaccine within the stipulated time."
ಎಷ್ಟು ದೂರಕ್ಕೂ ನಡೆದು ಹೋಗುವಂತ ತಾಕತ್ತಿನವರು,How far can they go?
ಒಮ್ಮೆ ಬಲಗಾಲಿನ ಉಂಗುಷ್ಟ,once the ring of the right foot
ಶಂಕರನು ಅವರ ಮಾತನ್ನು ಪ್ರತಿಭಟಿಸುತ್ತಿದ್ದಾನೆ,Shankara is protesting their words.
ಅಣ್ಣಂದಿರು –ತಂಗಿ,Brothers and sisters
ಕಿರಣನು ಅಸಭ್ಯವಾಗಿ ವರ್ತಿಸುತ್ತಿದ್ದಾನೆ,Kiran is behaving rudely
ಮಾಡುವ ಶಿಕ್ಷಣ ಕಲಿಯುತ್ತಿದ್ದ,Learning to do
ತಲೆಗೆ ಬಿಳಿಯ ಬಟ್ಟೆ ಅಥವಾ ಸಾಲು ಕಟ್ಟುತ್ತಾರೆ,A white robe or line is tied around the head.
ಹಂದಿಗಳು ಗುಂಪುಗಾರಿಕೆಯಲ್ಲಿ ಇರುವ ಮೃಗಗಳು,Pigs are group animals.
ಈ ಕ್ರಮ ಈಗಲೂ ಹಾಗೆಯೇ ಉಳಿದೆದೆ,This action still remains the same.
ವಿನಾಯಕನು ತಪ್ಪಾಗಿ ಉಚ್ಚಾರಮಾಡುತ್ತಾನೆ,Vinayaka mispronounces
ಹುರುಳಿ ಉದ್ದು ಹೆಸರು ಮೂರನ್ನು ಬೇರೆ ಬೇರೆಯನ್ನು ಬೆರೆಸಿ,mix three different names of buckwheat
ವಿಶ್ವಜಿತನು ತಿನ್ನುತ್ತಿದ್ದಾನೆ,Vishwajeet is eating
ಏನಾಗುತ್ತಿದೆ ಇಲ್ಲಿ ಎನ್ನುವುದೇ ತಿಳಿಯುತ್ತಿಲ್ಲ,I don't know what's happening here.
ಸುಜಯನು ಮನೆಯನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸುತ್ತಾನೆ,Sujaya cleans the house
ಅದರ ಕಲೆ ನೆಲೆ ಆ ಪ್ರಕೃತಿಯೇ ತೋರಿಸಿ ಕೊಡುತ್ತಾ ಇತ್ತು,Its artistic base continued to show that nature
ಹೀಗೆ ಮುನ್ನಡೆದು ಕವತ್ತಾರ ಗೋಳಿ ಎಂಬ ಸ್ಥಳಕ್ಕೆ ಬರುತ್ತಾನೆ,Thus he proceeds to a place called Kavathara Goli.
ಅದೊಂದು ಶುಭ ದಿನದಂದು ಕೆತ್ತಿದ ಮೂರ್ತಿಯನ್ನು ಅರಸರಿಗೆ ಬಿಟ್ಟುಕೊಡುವ ಕಾರ್ಯವೂ ನಡೆದು ಹೋಯಿತು,It was also on an auspicious day that the carved idol was handed over to the kings.
ತನ್ನ ಎರಡು ಕಾಲನ್ನು ಮಡುಚಿ ಕೂತ,He bent both his legs.
ಕವತ್ತಾರ ಗುತ್ತಿನ ಮನೆಯ ಆನೆ ಬಾಗಿಲಿಗೆ ಮನುಷ್ಯ ರೂಪದಲ್ಲಿ ಬರುತ್ತಾನೆ,The elephant comes in the form of a human to the door of the house of Kavattar Gutta.
ಕೋವಿಡ್ 2ನೇ ಅಲೆ ನಿಯಂತ್ರಣಕ್ಕೆ ಸಂಬಂಧಪಟ್ಟಂತೆ ಎಪ್ರಿಲ್ 27 ರಿಂದ ಮೇ 12 ರವರೆಗೆ ರಾಜ್ಯ ಸರಕಾರ ನೀಡಿದ ಮಾರ್ಗಸೂಚಿಗಳನ್ನು ಅನುಷ್ಠಾನ ಮಾಡುವ ನಿಟ್ಟಿನಲ್ಲಿ ಜಿಲ್ಲೆಯ ಗಡಿ ಪ್ರದೇಶದಲ್ಲಿ ಚೆಕ್ ಪೆÇೀಸ್ಟ್‍ಗಳನ್ನು ತೆರೆದು ಅನಗತ್ಯ ವಾಹನ ಸಂಚಾರವನ್ನು ನಿಯಂತ್ರಣ ಮಾಡಬೇಕೆಂದು ಜಿಲ್ಲಾಧಿಕರಿ ಜಿ. ಜಗದೀಶ್ ತಿಳಿಸಿದ್ದಾರೆ.,District Collector G. Jagadish said that check posts should be opened in the border area of the district to control unnecessary vehicular traffic in order to implement the guidelines issued by the state government from April 27 to May 12 regarding the control of the second wave of Covid.
ಸುಧನ್ವನು ಸಿನಿಮಾದಲ್ಲಿ ನಟಿಸುತ್ತಾನೆ,Sudhanva acts in the film
ನಿಮ್ಮ ಹಸಿವನ್ನು ಸ್ವಲ್ಪ ಕಡಿಮೆ ಮಾಡಿಕೊಳ್ಳಿ,Reduce your appetite a bit
ಅಭಿನವನು  ನಡೆಯುತ್ತಿದ್ದಾನೆ,Abhinav is walking
ಆವಾಗ ಜಿಮಾದಿ ನಾನು ಕರಿ ಬಣ್ಣದ ಜೀಮಾದಿ,"At that time, I was black."
ಸುಜಯನು ಕಾಗದವನ್ನು ಹರಿಯುತ್ತಿದ್ದಾನೆ,Sujaya is flushing the paper
ನಂಜುಂಡನು  ರಾಜನಾಗಿದ್ದಾನೆ,Nanjunda is the king
ಜಗದೀಶನು ಊಟವನ್ನು ಖಾಲಿ ಮಾಡುತ್ತಿದ್ದಾನೆ,jagdish is emptying the meal
ಮಣಿಕಂಠನು ಹರಿಯುತ್ತಿದ್ದಾನೆ,Manikanta is flowing
ಈಗ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಒಂದು ಗಂಟೆಗೆ 10 ಆಕ್ಸಿಜನ್ ಸಿಲಿಂಡರ್ ಬಳಕೆಯಾಗುತ್ತಿದೆ.,The hospital now uses 10 oxygen cylinders per hour.
ಅದರ ಬೇಟೆ ಮಾಡುವಾಗ ಒಮ್ಮೆ,Once upon a time while hunting
